cycle,bt_calls,bt_pruned,p1_zero_gain,p2_priv_kill,p3_dead_end,runtime_seconds
C3,4,0,0,0,0,0.0
C4,5,0,0,0,0,0.0
C5,16,1,0,0,1,0.0
C6,21,13,0,10,3,0.0
C7,26,30,0,24,6,0.0
C8,39,44,0,34,10,0.001
C9,66,49,0,34,15,0.0
C10,97,94,0,64,30,0.0
C11,146,141,0,92,49,0.0
C12,208,207,0,133,74,0.0
C13,288,305,0,196,109,0.001
C14,434,411,0,251,160,0.001001
C15,620,603,0,366,237,0.001001
C16,875,882,0,536,346,0.001998
C17,1244,1245,0,750,495,0.002999
C18,1756,1748,0,1047,701,0.002999
C19,2495,2479,0,1477,1002,0.004134
C20,3546,3502,0,2075,1427,0.006227
C21,4996,4975,0,2950,2025,0.019001
C22,7034,7044,0,4179,2865,0.026001
C23,9953,9879,0,5837,4042,0.038001
C24,14045,13957,0,8242,5715,0.057
C25,19821,19723,0,11643,8080,0.080881
C26,27964,27816,0,16411,11405,0.110938
C27,39395,39248,0,23163,16085,0.158102
C28,55578,55307,0,32619,22688,0.240488
C29,78413,77955,0,45951,32004,0.389429
C30,110544,110000,0,64851,45149,0.494757
C31,155853,155137,0,91463,63674,0.737099
C32,219748,218656,0,128889,89767,1.091519
C33,309818,308300,0,181726,126574,1.76688
C34,436878,434668,0,256185,178483,2.56545
C35,615974,612866,0,361202,251664,3.729262
C36,868364,864198,0,509365,354833,5.266712
C37,1224329,1218307,0,718041,500266,8.097062
C38,1726208,1717578,0,1012261,705317,10.545247
C39,2433742,2421705,0,1427252,994453,22.989205
C40,3431325,3414348,0,2012258,1402090,26.376247
C41,4837668,4813811,0,2837048,1976763,30.985373
C42,6820448,6786874,0,3999889,2786985,59.556675
C43,9616124,9568455,0,5639148,3929307,91.081232
C44,13557549,13490388,0,7950524,5539864,127.649673
C45,19114313,19020022,0,11209465,7810557,175.87763
C46,26948771,26815634,0,15803768,11011866,249.16894
C47,37994278,37806503,0,22281208,15525295,381.077983
C48,53567139,53302383,0,31413658,21888725,549.536119
C49,75523012,75149488,0,44289132,30860356,714.33707
C50,106477569,105951466,0,62442286,43509180,978.783613
